"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description","#","Part Number"
"BT1","1","Battery","","","","Battery:BatteryHolder_Keystone_1058_1x2032","~","Holder Battery; Coin Battery; 1 Cell; Tab; Glass Filled LCP; 0.787 in. Dia.","1","1058"
"BT2","1","Battery","","","","Battery:BatteryHolder_Keystone_2479_3xAAA","~","Cylindrical Battery Contacts, Clips, Holders & Springs 3AAA HOLDER PC MNT","2","2479"
"C1","1","1uF","","","","Capacitor_SMD:C_0603_1608Metric","~","100V 1uF X7S å¤10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","3","GRM188D72A105KE01D（100V 1uF X7T 10% 0603）"
"C2","1","220pF","","","","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J","~","0603 220 pF 50 V Â±1 % Tolerance C0G/NP0 SMT Multilayer Ceramic Chip Capacitor","4","VJ0603A221FXACW1BC"
"J1","1","Amp Socket 1x7","","","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~","Btb Conn, Rcpt, 7Pos, 1Row, 2.54Mm Rohs Compliant: Yes |Wurth Elektronik 61300711821","5","61300711821 "
"J3","1","Conn_01x02_Socket","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box","6","S2B-PH-K-S(LF)(SN)"
"J4","1","XIAO LEFT","","","","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical_SMD_Pin1Left","~","THT Vertical Socket Header WR-PHD, Pitch 2.54 mm, Single Row, 16 pins","7","DS1023-16-1*16B81XBX1 work?  https://www.tme.eu/en/details/ds1023-16-1x16tx1/pin-headers/connfly/ds1023-16-1-16b81xbx1/"
"J5","1","XIAO RIGHT","","","","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical_SMD_Pin1Left","~","THT Vertical Socket Header WR-PHD, Pitch 2.54 mm, Single Row, 12 pins","8","DS1023-16-1*16B81XBX1 work?  https://www.tme.eu/en/details/ds1023-16-1x16tx1/pin-headers/connfly/ds1023-16-1-16b81xbx1/"
"J6","1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","https://www.we-online.com/components/products/datasheet/693072010801.pdf","Conn, Memory Skt, Microsd, 8POS, Hinged Rohs Compliant: Yes","9","693072010801"
"MK1","1","SPH0645LM4H","","","","Sensor_Audio:Knowles_SPH0645LM4H-6_3.5x2.65mm","https://www.knowles.com/docs/default-source/default-document-library/sph0645lm4h-1-datasheet.pdf","Knowles MEMS Microphone, 24-bit I2S, 65 dBA SNR, LGA-6","10","SPH0645LM4H-1-8 "
"R1","1","68","","","","Resistor_SMD:R_0402_1005Metric","~","Res Thick Film 2512 68 Ohm 5% 3W Â±200ppm/C Pad SMD T/R Automotive","11","FRC0402J680 TS（68R 5% 62.5mW 0402）"
"R2","1","10k","","","","Resistor_SMD:R_0402_1005Metric","~","Precision resistor, SMD [TE Connectivity] SMF310KJT Precision resistor, SMD","12","RC0402FR-0710KL（0402 10K 1%）"
"SW1,SW2,SW3","3","SW_Push","","","","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS","Switch Tactile N.O. SPST Round Button PC Pins 0.05A 12VDC 100000Cycle 1.96N Thru-Hole Bulk,~","Switch Tactile N.O. SPST Round Button PC Pins 0.05A 12VDC 100000Cycle 1.96N Thru-Hole Bulk","13","Y97HS12A4VAFP"
